,Send a message or record audio to get a reply from Mistral
,Hi.
Hello! How can I assist you today?,
,I'm looking for a roller data scientist.
,Send a message or record audio to get a reply from Mistral
,Hi.
Hello! How can I assist you today?,
,I'm looking for a roller data scientist.
"Introduction:
Hi there! I'm glad to meet you. Can you tell me more about your background and why you're interested in becoming a Roller Data Scientist?",
,I'm currently doing Btech and Data Science.
,Send a message or record audio to get a reply from Mistral
,Hi.
Hello! How can I assist you today?,
,I'm looking for a roller data scientist.
"Introduction:
Hi there! I'm glad to meet you. Can you tell me more about your background and why you're interested in becoming a Roller Data Scientist?",
,I'm currently doing Btech and Data Science.
"Great, I'd love to get started with this interview! Can you tell me a bit more about your desired job role after completing your studies in Btech and Data Science?",
,Search.
